"TSLA - Tesla, Inc."
Date,Open,High,Low,Close*,Adj Close**,Volume
"Oct 08, 2018","1,160.00","1,175.86","1,135.40","1,155.92","1,155.92","2,309,500"
"Oct 05, 2018","1,176.00","1,182.00","1,154.32","1,167.83","1,167.83","1,592,600"
"Oct 04, 2018","1,205.03","1,205.90","1,163.85","1,177.07","1,177.07","2,328,800"
"Oct 03, 2018","1,212.00","1,214.18","1,202.15","1,211.53","1,211.53","1,312,300"
"Oct 02, 2018","1,206.67","1,224.52","1,199.66","1,207.64","1,207.64","2,009,000"
"Oct 01, 2018","1,213.00","1,224.20","1,203.19","1,208.53","1,208.53","1,658,200"
"Sep 28, 2018","1,204.09","1,208.45","1,197.83","1,207.08","1,207.08","1,780,600"
"Sep 27, 2018","1,200.00","1,216.86","1,198.05","1,207.36","1,207.36","1,813,700"
"Sep 26, 2018","1,193.69","1,207.24","1,185.40","1,194.06","1,194.06","1,882,500"
"Sep 25, 2018","1,184.25","1,196.86","1,174.09","1,193.89","1,193.89","1,657,600"
"Sep 24, 2018","1,159.41","1,185.19","1,151.50","1,179.56","1,179.56","1,557,500"
"Sep 21, 2018","1,194.92","1,196.58","1,172.06","1,172.12","1,172.12","4,561,100"
"Sep 20, 2018","1,180.67","1,194.00","1,176.25","1,191.57","1,191.57","1,462,200"
"Sep 19, 2018","1,168.96","1,176.27","1,158.62","1,174.27","1,174.27","1,298,100"
"Sep 18, 2018","1,162.66","1,181.33","1,161.43","1,167.11","1,167.11","1,615,700"
"Sep 17, 2018","1,177.77","1,181.82","1,158.46","1,159.83","1,159.83","1,704,800"
"Sep 14, 2018","1,188.00","1,188.00","1,173.52","1,177.98","1,177.98","1,208,800"
"Sep 13, 2018","1,179.70","1,187.86","1,169.22","1,182.14","1,182.14","2,003,400"
"Sep 12, 2018","1,182.00","1,190.69","1,166.16","1,171.60","1,171.60","1,785,800"
"Sep 11, 2018","1,171.10","1,190.94","1,165.95","1,189.99","1,189.99","1,462,700"
"Sep 10, 2018","1,184.20","1,186.66","1,170.61","1,175.06","1,175.06","1,383,500"
"Sep 07, 2018","1,172.00","1,188.55","1,169.27","1,177.59","1,177.59","1,632,900"
"Sep 06, 2018","1,198.57","1,198.99","1,163.61","1,183.99","1,183.99","2,342,700"
"Sep 05, 2018","1,209.22","1,214.87","1,175.34","1,199.10","1,199.10","2,699,400"
"Sep 04, 2018","1,222.52","1,227.87","1,206.56","1,211.31","1,211.31","2,072,900"
"Aug 31, 2018","1,252.21","1,252.55","1,225.75","1,231.80","1,231.80","2,115,400"
"Aug 30, 2018","1,263.40","1,269.49","1,247.21","1,254.44","1,254.44","1,505,200"
"Aug 29, 2018","1,255.00","1,267.17","1,252.80","1,264.65","1,264.65","1,846,300"
"Aug 28, 2018","1,255.90","1,256.56","1,242.97","1,245.86","1,245.86","1,366,500"
"Aug 27, 2018","1,244.14","1,257.87","1,240.68","1,256.27","1,256.27","1,429,000"
"Aug 24, 2018","1,226.00","1,237.40","1,221.42","1,236.75","1,236.75","1,222,700"
"Aug 23, 2018","1,219.88","1,235.17","1,219.35","1,221.16","1,221.16","1,233,300"
"Aug 22, 2018","1,214.22","1,226.53","1,213.22","1,221.75","1,221.75","1,114,800"
"Aug 21, 2018","1,223.02","1,232.76","1,215.03","1,217.41","1,217.41","1,154,100"
"Aug 20, 2018","1,220.66","1,225.91","1,208.70","1,221.95","1,221.95","1,110,900"
"Aug 17, 2018","1,222.04","1,226.95","1,204.00","1,215.85","1,215.85","1,654,600"
"Aug 16, 2018","1,241.99","1,243.70","1,219.63","1,224.06","1,224.06","1,608,800"
"Aug 15, 2018","1,244.28","1,251.98","1,226.24","1,232.22","1,232.22","1,852,600"
"Aug 14, 2018","1,252.50","1,260.59","1,239.54","1,258.14","1,258.14","1,404,000"
"Aug 13, 2018","1,251.20","1,265.97","1,247.03","1,248.64","1,248.64","1,375,000"
"Aug 10, 2018","1,259.18","1,261.20","1,247.16","1,252.51","1,252.51","1,330,100"
"Aug 09, 2018","1,262.73","1,271.96","1,260.10","1,264.46","1,264.46","1,365,700"
"Aug 08, 2018","1,256.72","1,271.72","1,252.12","1,261.33","1,261.33","1,717,200"
"Aug 07, 2018","1,252.01","1,266.08","1,251.80","1,255.84","1,255.84","2,125,300"
"Aug 06, 2018","1,241.61","1,242.46","1,230.53","1,237.67","1,237.67","1,105,700"
"Aug 03, 2018","1,245.18","1,246.52","1,229.42","1,238.16","1,238.16","1,063,200"
"Aug 02, 2018","1,218.50","1,244.41","1,218.06","1,241.13","1,241.13","1,735,200"
"Aug 01, 2018","1,239.11","1,245.90","1,224.94","1,232.99","1,232.99","1,849,700"

